utcTime,sessionTime,frame,playerPosition,action,hand,hold,details
2026-06-28T00:38:10.6898500Z,10.421,104,"(-0.114,0.994,0.007)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:10.7902620Z,10.540,105,"(-0.114,0.994,0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:10.8897390Z,10.631,106,"(-0.111,0.989,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:10.9897750Z,10.720,107,"(-0.104,0.989,0.001)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:11.0897660Z,10.815,108,"(-0.101,0.991,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:11.1907590Z,10.917,109,"(-0.099,0.981,0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:11.2904030Z,11.022,110,"(-0.097,0.967,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:11.3896860Z,11.114,111,"(-0.099,0.972,0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:11.4898480Z,11.213,112,"(-0.102,0.975,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:11.5900820Z,11.314,113,"(-0.103,0.975,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:11.6899260Z,11.414,114,"(-0.103,0.974,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:11.7902590Z,11.514,115,"(-0.102,0.972,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:11.8902530Z,11.621,116,"(-0.102,0.973,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:11.9897420Z,11.724,117,"(-0.102,0.972,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:12.0898100Z,11.815,118,"(-0.101,0.971,0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:12.1900490Z,11.931,119,"(-0.101,0.969,0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:12.2897370Z,12.018,120,"(-0.100,0.970,0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:12.3899350Z,12.115,121,"(-0.101,0.969,0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:12.4898400Z,12.219,122,"(-0.101,0.971,0.006)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:12.5899220Z,12.324,123,"(-0.101,0.969,0.006)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:12.6896970Z,12.416,124,"(-0.101,0.969,0.007)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:12.7900950Z,12.527,125,"(-0.100,0.969,0.006)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:12.8905770Z,12.616,126,"(-0.101,0.970,0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:12.9897340Z,12.717,127,"(-0.100,0.968,0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:13.0900270Z,12.816,128,"(-0.100,0.969,0.006)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:13.1901470Z,12.924,129,"(-0.100,0.967,0.007)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:13.2901350Z,13.017,130,"(-0.100,0.968,0.008)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:13.3900120Z,13.120,131,"(-0.092,0.978,0.013)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:13.4898730Z,13.235,132,"(-0.076,0.987,0.011)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:13.5899390Z,13.323,133,"(-0.070,0.991,0.009)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:13.6899580Z,13.417,134,"(-0.069,0.991,0.007)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:13.7900930Z,13.524,135,"(-0.068,0.996,0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:13.8901240Z,13.630,136,"(-0.067,1.005,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:13.9898950Z,13.718,137,"(-0.068,1.007,0.001)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:14.0901120Z,13.832,138,"(-0.071,1.009,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:14.1901260Z,13.920,139,"(-0.073,1.011,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:14.2899570Z,14.020,140,"(-0.074,1.011,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:14.3900310Z,14.121,141,"(-0.075,1.011,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:14.4901340Z,14.229,142,"(-0.076,1.011,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:14.5897370Z,14.319,143,"(-0.078,1.011,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:14.6902180Z,14.420,144,"(-0.078,1.011,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:14.7904160Z,14.537,145,"(-0.079,1.011,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:14.8901470Z,14.624,146,"(-0.080,1.011,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:14.9900950Z,14.720,147,"(-0.081,1.012,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:15.0903270Z,14.828,148,"(-0.081,1.010,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:15.1903670Z,14.920,149,"(-0.082,1.012,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:15.2900910Z,15.023,150,"(-0.082,1.010,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:15.3898450Z,15.123,151,"(-0.082,1.010,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:15.4901710Z,15.229,152,"(-0.082,1.009,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:15.5900980Z,15.322,153,"(-0.082,1.010,0.001)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:15.6910790Z,15.422,154,"(-0.081,1.010,0.000)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:15.7899620Z,15.539,155,"(-0.082,1.011,0.001)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:15.8900530Z,15.626,156,"(-0.082,1.010,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:15.9902730Z,15.722,157,"(-0.082,1.010,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:16.0900550Z,15.828,158,"(-0.081,1.008,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:16.1902220Z,15.935,159,"(-0.081,1.008,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:16.2902720Z,16.023,160,"(-0.083,0.994,-0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:16.3899940Z,16.136,161,"(-0.088,0.978,-0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:16.4901550Z,16.224,162,"(-0.091,0.974,-0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:16.5897970Z,16.323,163,"(-0.090,0.977,-0.002)",LocomotionStop,,,grip locomotion stopped
